---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,39
TRIAL:,3
TRIAL DATE TIME:,01-21-2020 16:56
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Frustration,Performance
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Mental Demand vs. Effort,Effort
Effort vs. Performance,Effort
Performance vs. Mental Demand,Performance
Frustration vs. Effort,Effort
Physical Demand vs. Frustration,Physical Demand
Performance vs. Temporal Demand,Performance
Mental Demand vs. Physical Demand,Physical Demand
Effort vs. Physical Demand,Effort
Physical Demand vs. Performance,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Effort,Effort
