---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,38
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 15:15
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Effort
Effort vs. Performance,Performance
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Physical Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Temporal Demand,Performance
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Physical Demand
Performance vs. Frustration,Performance
Mental Demand vs. Effort,Mental Demand
