---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,1
TRIAL:,3
TRIAL DATE TIME:,01-14-2020 19:14
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Effort,Effort
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Mental Demand
Effort vs. Performance,Performance
Performance vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Physical Demand vs. Performance,Physical Demand
Performance vs. Frustration,Performance
Mental Demand vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Temporal Demand,Performance
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Mental Demand,Mental Demand
