---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,2
TRIAL:,3
TRIAL DATE TIME:,01-14-2020 20:32
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Effort
Performance vs. Frustration,Frustration
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
Physical Demand vs. Performance,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Temporal Demand,Performance
Frustration vs. Mental Demand,Frustration
Frustration vs. Effort,Effort
Effort vs. Performance,Effort
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Physical Demand
