---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,23
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 20:02
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Mental Demand,Performance
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Mental Demand
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Performance
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Frustration,Frustration
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Frustration,Frustration
Frustration vs. Effort,Frustration
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Physical Demand,Mental Demand
Effort vs. Performance,Performance
Frustration vs. Mental Demand,Frustration
