---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,27
TRIAL:,2
TRIAL DATE TIME:,01-22-2020 13:22
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Frustration
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Effort
Physical Demand vs. Performance,Physical Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Physical Demand vs. Frustration,Physical Demand
Performance vs. Mental Demand,Performance
Frustration vs. Mental Demand,Frustration
Performance vs. Frustration,Performance
Frustration vs. Effort,Effort
